evaluation,label
用了一段时间，感觉还不错，可以,正面
电视非常好，已经是家里的第二台了。第一天下单，第二天就到本地了，可是物流的人说车坏了，一直催，客服也帮着催，到第三天下午5点才送过来。父母年纪大了，买个大电视画面清晰，趁着耳朵还好使，享受几年。,正面
电视比想象中的大好多，画面也很清晰，系统很智能，更多功能还在摸索中,正面
不错,正面
用了这么多天了，感觉还不错。夏普的牌子还是比较可靠。希望以后比较耐用，现在是考量质量的时候。,正面
物流速度很快，非常棒，今天就看了电视，非常清晰，非常流畅，一次非常完美的购物体验,正面
非常好，客服还特意打电话做回访,正面
物流小哥不错，辛苦了，东西还没用,正面
送货速度快，质量有保障，活动价格挺好的。希望用的久，不出问题。,正面
非常漂亮，也非常清晰，反应速度也快。,正面
很不错家里都喜欢。。。一次买了三台,正面
送货非常快！质量非常好，这次购物非常愉快！！,正面
58好大……都不错。看质量咯,正面
物流很快，物有所值，值得信赖。依旧会关顾！谢谢商家！,正面
这价钱超值，收到货马上装上看了一下。很清晰式样也蛮好！赞赞……,正面
目前感受还不错,正面
速度快、服务态度很好,正面
挺好的，物流也快，两天就到了,正面
发货速度快,正面
送货很快，安装服务也很好,正面
质量很好，物流服务到位,正面
看4k这款确实比普通屏好很多，感觉比较明显，价格的话双12搞活动比较给力，就是百视通的资源与腾讯视频比还是有点差距，客户自己装一个！,正面
便宜，能用，这个价格可以。,正面
给我妈买的，妈妈很开心说很好，说快递小哥态度很好。给好评。,正面
性价比极高的一款电视机，值得 拥有,正面
电视不错 晒单： 收起 向左转 向右转,正面
还不错啊，高端大气上档次，外观喜欢。,正面
还不错,正面
这台电视是给远在家乡的父母买的。父母年纪大了，这种简单的操作系统比较适合他们。搞活动半夜下的单子，第二天就送到了，安装简单，系统运行速度也很快。各种类别节目都很齐全，清晰度很好。父母反应很满意！,正面
蛮好的。物美价廉。我同事看我买了也买了两台。还包上门安装。,正面
挺好的，就是感觉买小了，应该买43寸的,正面
不错，很好,正面
相信日本品牌，品质放心。,正面
好，一次不错的选择，非常清楚，非常好。,正面
给奶奶买的，奶奶很喜欢。送货的服务也不错哦。,正面
挺不错的 画面清晰 外观既好看又时尚,正面
给老爸卧室买的，质量很不错，第一次买夏普，网络直接连接，送了一年的爱奇艺，不错,正面
给姑姑买的卧室电视，不错哦。上门安装加挂架多付80而已。姑姑很满意,正面
服务很好，,正面
价格便宜，性价比挺好，刚刚开始用,正面
电视收到了，很好，质量好，色彩也好，安装师傅也有耐心！棒棒！,正面
电视不错，屏幕够大。,正面
电视到货很久了，今天才安装好，很激动，效果很好，京东物流也很给力，必须给五分?,正面
还不错,正面
宝贝收到了，发货速度很快，价格实惠，包装完整，非常满意！,正面
京东家电正品低价服务到家,正面
京东值得信赖,正面
58寸！你想象不的视觉体验！操作界面简单，遥控的语音识别很是不错，影片库也很全，从最新的到最热的，从此爱上看电视！,正面
为电视的问题考虑了半天，从LG换到三星，最终选择了索尼。没有usb3.0和hdmi2.0的电视，以后必然难以支持4K60帧的视频，这个价位选索尼没毛病,正面
团购比平时便宜2O0元，抵,正面
快递物流好，自行安装底座很方便，由于不是高清机顶盒缘故，接有线电视图像一般，其他图像非常好。投屏功能很好用，操作界面整洁，把新电视屏幕的保护膜撕掉，画面十分鲜艳，连接wifi后，测试了一下，很满意，非常愉快的一次网购体验！ 晒单： 收起 向左转 向右转,正面
"电视相当不错，12月18号下的单，19号下午收到的，足以证明火爆程度。总结了以下几点:一、65H7全金属机身、（后面塑料）视觉无边框，我比较喜欢，无边界方显大视野； 25核处理器，2G DDR4+8G FLASH，配置好电视才能运行快；虽说内存不是很大，剩余内存不到4个g，应该也够用 。二、电视外表整体做工还行， 拥有HDR技术，广色域技术，4K MEMC，色彩好，拥有HDR技术，广色域技术，4K MEMC，画质清晰音质也还好 杜比解码+DTS解码，立体环绕音效，搭载酷开系统5.8。三、对比很多，其他电视只有屏幕和资源拿的出手，防抖什么的就绝口不提，反而创维65H7能在这个价位加上MEMC,相当良心，所以还是选了创维。四、电视也今年5月份刚上市，虽说对电视没有多大了解，都是网上查看，电视用的cpu也是去年新出（至于好坏我也不懂，看了很多，大家可以自己查看）五、对供应商客服很满意，纠结了好几天，有什么问题都问到供应商客服，而且每次都是耐心及时给回答，对于这点体验很好，相信售后也很给力的。安装也相当给力，当天下午到货，晚上就装上了，还免安装费。",正面
此用户未及时评价，系统默认好评。 2017-12-01 17:17:15 追加： 很清晰，音质很好,正面
外观很漂亮，画质和声音都非常不错,正面
安装完成，开始用起来，感觉还不错,正面
电视很完美，看起来也很漂亮。边框窄，整体观看效果比普通的LED电视好很多。安装师傅很给力，送货师傅也很给力。五星好评。,正面
非常不错的电视机，价格也便宜，飞利浦，大品牌,正面
很好，送货很快，满意,正面
一如既往的好评…拍来送人的。朋友很满意。,正面
还不错哦，送货很快，提前一天就送来了,正面
不得不佩服京东的配送速度，太快了，现在基本都在京东买了，又便宜又好,正面
物美价廉,正面
超高性价比！性价比简直是无敌！虽然造工比不上大品牌，但价格低啊，找不到比这便宜的了。不过想看的都要会员啊，晒单送我3年会员试试看好啦?！,正面
双十一的时候给自家买了台55x3邻居看到后很喜欢，双十二让我帮他买了台43的，还不错支持暴风,正面
值得购买,正面
性价比很高！,正面
不错,正面
非常好，好评,正面
宝贝很好哟，买之前一直担心电视的质量问题，用了一段时间后才明白那是多余的担心，质量没有任何问题，杠杠的，值得信赖。,正面
老品牌，我信任，看着不错啊。,正面
很轻 感觉 挺单薄 不过价格也便宜 对得起 这个价格了,正面
送货快服务及时，态度很好，非常满意！,正面
12月4日零点抢的，12月5日中午前就送到，刚买完的第二天早上8点半就有客服打电话过来确认订单的情况 及物流的时间选择发送，虽然时间太早，但还是感觉很贴心。第二，收到货后，马上打创维的客服热线，下午4点左右不到就家来安装完毕。整个购物体验非常棒。安装的师付也说这电视不错。就是后来加了一条创维的原厂线158元的高清线。以前机顶盒不是高清线。所以，我还是给了5分。,正面
飞利浦的电器不用说 ，质量杠杠的,正面
东西不错，值得拥有。。。。。q,正面
送给姐姐乔迁新居的礼物，今天到货并安装好了。京东服务非常细心，电视也完好正常，姐姐很满意!,正面
画面清楚、质量保证,正面
画面清晰 师傅安装很好很快 满意,正面
双11 949元买的，价格实惠，能用就行。,正面
显示效果很棒，音质一般般！放在店里用，屏幕大，性价比还可以吧，虽然别其他品牌的贵一点，但资源多！整体做工一般，塑料感挺强的，家里用的话不建议这款！接口比较丰富。整体中规中矩！晒图的视频是超清画质，开启杜比音效的效果，供大家参考！ 晒单： 收起 向左转 向右转,正面
挺好的,正面
东西不错，就是货运特别慢，多次打电话才送到。,正面
挺好的,正面
老家乡里的电视被小娃娃弄坏了，一直都想换一个新电视 在京东上看了又看等到双十一的时候也没下手心里还有些后悔 直到前几天看到风行电视在搞活动果断下单 昨晚师傅送货到家安装好了 电视效果不错 清晰 声音洪亮 物美价廉 希望风行能够越做越好 越做越大,正面
刚开箱试机，屏幕质地很好，画面清淅度高，功能很全，这个价格很值了！,正面
便宜实惠，就是色彩的鲜艳度差了点，如果要求不高还是可以接受的,正面
还是不错的，反应还是比较快的！！！ 晒单： 收起 向左转 向右转 2017-12-10 21:54:20 追加： 电视外观挺不错的，玫瑰金的边框彰显美感。电视遥控操作起来也很方便，遥控器不错，比较灵敏！还会继续购买！！ 收起 向左转 向右转,正面
正品，很好，经常买,正面
不错,正面
还不错。性价比挺高的,正面
果然超薄，也没有太多发热，双十二下单，除了送货时间久点，其他都不错,正面
不错,正面
电视不错，大品牌没问题，比较清晰,正面
使用了两周，效果不错,正面
物流就是赞。服务态度好 ，开箱检查确保没问题。已上电测试，没问题，清晰度好。,正面
电视还没安装，等待安装。不过看着挺好的,正面
确实是没有辜负期望，值得购买，信赖大！,正面
给父母买的，还不错。不亏是小米。,正面
物流可以，装机也快捷，不错,正面
快递送货快，售后服务态度很好，安装师傅上门安装，耐心细致讲解疑问。电视清晰度高，音质不错。暂时没有发现问题。,正面
相信创维的品质，所以购买。收到货比较满意，边缘即使有一点没有全屏，不影响视觉，取出电视后会有指纹留在电视屏幕上面，一般的布可以擦处，比电脑屏幕容易擦拭，其实可以打包出售贴膜，这样小孩子不会好奇一直留指纹到屏幕上，擦拭更容易。遥控比较好用，不看说明书都会使用了，这一点出比我想象的好。视觉满意，在意听觉效果的需要加上音响。本来担心电视会碎屏，收快递现场验货没有这个问题，满意的一次购物！,正面
电视机不错，就是买小了，夏普是没有退换这一说的，除非是大问题，让师傅开签定单，自己的原因，莫得法子，服务和性能肯定都是好评的，相信京东，全部的大件都是京东自营，?东继续加油哦?懒得拍照片，就只拍了一下空调的，嘿嘿,正面
值得购买！功能强大，效果非常不错！,正面
宝贝收到了，包装很完整价格实惠，非常满意的一次购物经历！,正面
宝贝一级棒！师傅也太负责了！好评！,正面
电视质量不错，色彩鲜艳 ，放客厅刚刚好，客服态度也不错。,正面
挺好的，性价比高,正面
，电视机很好。价格便宜服务好，电视显示效果还可以，,正面
电视不错的。送货上门，暂时还没有安装,正面
本人双11买的 这个电视 外观好看 档次高 我的型号是创维65寸H7超薄的 昨天刚开机 电视给我感觉就是小了一点 我本来打算放客厅 现在放 卧室了 我房间要买创维100寸的蓝牙遥控器 随意切换一点都不卡，点什么都是秒出来 好看 大气我还要 再买一台100寸的.真的好喜欢他的架子 就是好看 不卡 大气 买的你放心 买的你安心 买的你绝对不后悔走过路过 千万别错过 支持买 买买 差不多了 我去忙了 非常好,正面
电视收到了显示屏非常清晰，价钱实惠非常满意,正面
物流客服都很给力，比想象的还大，画面也清晰。,正面
曲屏就是比一般的屏清晰，价格还不贵,正面
年会奖品，屏幕色彩不错,正面
终于等到了他的到来，还没看呢，但是之前的小米电视感觉不错,正面
物流就是快 东西也是正品,正面
电视和想象的差不多！海尔大品牌，值得信赖，客服态度好！有啥事立马解决！非常喜欢，值得大家购买，过几天追评,正面
觉得是物有所值，首先送货速度和送货态度都非常满意，然后打开电视，确实做工精细，画面流畅清晰，操作也很人性化。总之，比较满意！,正面
性价比超高，非常划算，而且机器也不错，满意！,正面
物超所值,正面
开箱通电后没啥问题，送货的师傅还是很负责的。曲面屏的确上档次。自己上几颗螺丝安装了，希望不要出问题。,正面
"今天下单中午就到,速度快,下午马上安装!晚上就能看!神速!",正面
感觉不错，装起来美的很，现在只想看电视了，什么都不想干,正面
还很便宜值得这个价格很好,正面
产品很好，目前很满意。但我支付的2年售后服务没有任何凭证，我不知如何取得，请告知,正面
挺不错的，价钱实惠,正面
漂亮，大气，物超所值！,正面
东西不错。很薄很轻。,正面
送货上门超级快，特别给力，自己装上了，特省事特方便，真的太超值了，爸妈特别喜欢。电视操作很简单，主要遥控器方便。视频好多电视剧，可以开开心心大屏追剧。哈哈哈哈哈京东就是快，风行就是好,正面
物美价廉哈，真行不错，下次自己房间再买,正面
物流很快，显示效果也非常不错。,正面
用过一段时间，才来评价。电视很清晰，设计漂亮。很满意的一次购物，感谢京东！谢谢送货小哥！,正面
很好，两点下单上午就到了，服务很好。,正面
京东超级会员，在京东买了好多东西，一直很好，售后还是物流都很满意，东西超级喜欢,正面
物流很快，到货后，第二天安装，用的WiFi看，效果不错。3999买的，物有所值，比去商场买感觉省时，省力，省不省钱，目前不知，估计应该贵不到哪去，也懒的去比价了。,正面
产品质量可以,正面
电视机效果非常好，颜色出彩。画面清晰流畅。另外客服七喜、阳光、坚果的服务也很到位，棒棒哒。,正面
硬屏的图像清晰，性价比高，希望后期不要出什么质量问题,正面
妈妈说，电视机不错，用一段时间再说呗,正面
电视机很满意，大小也正好，画质，音色都不错，很棒。 另外橘子，西瓜客服棒棒哒,正面
不错的小米电视，便宜！质量也不错哦！性价比很高 晒单： 收起 向左转 向右转,正面
东西收到了快递很给力，就是什么配件都没有，连最起码的数据线都没有,正面
挺好的！跟想象中的差不多！物流也快！送货师傅也很好！,正面
整体效果很好，性价比超高！,正面
安装师傅很负责，说是空心墙，多加了几颗螺丝固定。电视试看了下感觉不错。 晒单： 收起 向左转 向右转,正面
挺好的,正面
电视非常好，京东送货非常快，安装师傅也非常负责，态度很好，屏幕非常清晰，价格也非常合理，主要给孩子买来看动画片，不愧是4k非常清楚，孩子很喜欢，而且非常薄，总之非常满意,正面
很好用，色彩很好，简单易用,正面
电视给父母买的，父母觉得很满意,正面
给妈妈买的送货超级快，免费安装，送货人员服务也很热情，安装师傅很用心，给妈妈耐心讲解，妈妈说画面很清晰，内容也很丰富，在家里放着也不大，不占地方，挺好的电视,正面
就不上图了 一句话还不错,正面
卧室用的，画面挺清晰，但是不能离近看，否则颜色会很诡异，安装师傅挺好的,正面
京东就是好，速度快，送货师傅认真负责，售后安装态度好,正面
非常满意，双十二抢的，卧室以后也买这种,正面
还可以吧！还没用 看着挺不错的！物流也挺快 ！,正面
东西很好，经常在京东买东西……,正面
1.新疆的，送货很及时，态度也很不错。2.安装需要安装费，可能是比较远，不过没有让他安装，自己装的。3.电视很清晰但有时屏幕下面部分有些许花，时间很短，可能是网的问题，过段时间再看看。,正面
双12买的电视～发货速度很快～第二天就送到家里了～当时打电话安装师傅很快就到了～外观很漂亮～图像清楚！关键是前期服务确实不错～,正面
海尔大品牌。售后不错，用着放心。,正面
快递服务好，好高大,正面
实惠值得购买，性价比高，下次再光顾,正面
电视收到了，画面超清晰,正面
早上下单，一天后就收到货。自己拿着底座装好，第二天早晨起来打开电视看了两个大片，色彩绚丽，音质很好，非常满意！,正面
电视不错，后面的借口有弊端，电视挂墙后连线顶着墙了！,正面
电视机不错，音响效果好，画质清晰。我是双十一买的，双12的前两天我才收到货，打了好多投诉电话，让我很不开心，耽误了一个月的时间。安装工得态度不错，服务也好，给安装工点个赞?,正面
送货快，安装快！,正面
大品牌 防静电包装 值得信赖！,正面
暴风电视蛮清楚的，外观也漂亮，性价比可以,正面
看起来还不错，电视剧很大的,正面
很好的购物体验，产品更是没得说，画质，音质，绝对是物超所值！！,正面
今天刚收到货，还不错,正面
电视已经收到货，整体来说，操作界面很清晰，很简洁。会用普通电视遥控器，就能熟练操作风行电视。电视画面非常清晰，应用包含许多内容，比如，电影，综艺，幼儿卡通等等。屏幕大，我今年双12下的单，活动价买的非常超值，晒单还给价值1500多元的风行3年的金牌会员，更超值啦。这个电视值得购买，一定推荐给身边的朋友。,正面
我老妈可喜欢这电视了，不错，不错，五星好评,正面
电视到了，很不错，安装很方便。但是送儿童会员月卡还没送，客服说到时会发短信给我,正面
就是薄，看着非常不错。,正面
挺好的，是我喜欢的！,正面
东西收到了，京东发货太快了，不错！,正面
非常好的电视使用满意,正面
不错！很好用！视觉效果很棒！,正面
电视不错，很喜欢,正面
双十二抢购，价格很优惠，第二天就送到安装，特意用了几天才来评价。39寸放小客厅里正好，画面清晰，资源丰富，是部值得推荐的好电视！,正面
屏幕非常清晰,正面
物超所值 晒单： 收起 向左转 向右转,正面
物流快，大电视看着就是舒服！,正面
京东客服商家客服都好！电视有点问题当天反馈第二天就来换新！售后好！打电话就来！京东值得信赖！,正面
不错，值。,正面
电视还没开始用，今天师傅上门安装在了墙上，超赞！,正面
小米官网比这里贵一块钱，嘟嘟嘟诺诺头，用起来非常好。祝福我俩同学看着电视和和美美，幸福永久！,正面
好 挺不错的 很薄不占地方,正面
不错，很好，性价比很高，值得推荐购买，做工精致,正面
好，用了很长时间才来评论，很清晰,正面
买给爸妈还不错,正面
东西十分不错，很实用，还会再买,正面
真的，很好，京东快递不用说，两天就到了，送货上门，服务态度很好，这电视买值了，很清晰，儿子挺喜欢看电视的，连接无线网是也挺流畅的，特地使用几天之后再来评价的，,正面
电视很棒。,正面
价格便宜，值得购买,正面
饥饿营销，永远都是抢购的节奏，性价比还是挺高的，至于质量只有用过的才知道！,正面
70寸，刚好够大。清晰度不错，希望质量没问题！ 晒单： 收起 向左转 向右转,正面
不错不错,正面
一共买了六台，创维的电视值得信赖，客服的态度也是棒棒的,正面
刚到，43q2型号，清晰度好，没有破损，遥控灵活，声音清脆，快递一早就送货上门通电，等待师傅上门安装。,正面
双十一买的特意用了这么久才来评价，确实很满意，上门安装师傅服务也很好??，后期回访也很认真！十分满意的网淘！！！,正面
质量超级棒价格便宜,正面
非常满意全部五星好评！,正面
京东秒杀，1349抢的，应该是39寸里面相当便宜的一款了，下单后，第二天就送货上门非常快，家中急着用，没预约就自己装了，座装就安装两个支架，很方便。打开电视机，连上家中wifi，马上就能使用，色彩也不错。不足的应该在于自带的片源，与bestv合作，但片源不能说高清，还是要自己安装应用。插上家中的模拟信号线也没有问题。,正面
非常满意,正面
送货快 画面清晰 功能齐全 价格便宜,正面
无线网络连接很方便，16：9大屏幕看电影太爽了，自带应用很多好看视频，遥控器手感很好。,正面
服务好,正面
京东真的很快昨晚下单，今天早上就送到了。,正面
东西已收到，第二次买还是三星，客服人很好谢谢!物流很快送货的小哥认真负责人很好帮开箱通电.画壁电视很漂亮，特别是边框。非常好,正面
用了一段时间，感觉还不错。画质挺清晰的。感觉还算不错吧！,正面
飞利浦的电视很不错。色彩真好。,正面
非常满意！！！！！！！！,正面
东西还不错，质量比较让人放心,正面
宝贝不错，音质效果都很好。,正面
很不错，双十一买的，屏幕大，分辨率完全足够了，平时看电视和电影都可以享受，遥控器很简洁，家里老人要学习一下。总体满意！,正面
感觉挺不错的，声音和画质还行，就是得找4k的片源，用以前的一些比较小的视频看起来感觉模糊了，分辨率好高啊,正面
宝贝收到很好，再来物流也快。,正面
给外婆买的，屏幕色彩很清晰，非常不错的！,正面
第一次在京东购买电器，8号下单，9号就收到货了，电视画面清晰，棒棒的，安装师付很热情，服务周全。五分好评,正面
东西很是实惠哦,正面
电视便宜,正面
比想象中大，而且不露光，安装师傅也没有收费，看了几天感觉不错,正面
屏幕大 屏幕色彩也算OK 开机慢 音响有点闷声 相比风行49寸的 我更喜欢风行还送3年会员 我家一共买了三台 小米65曲面放客厅 风行49次卧 风暴50放主卧 还是风行给我感觉最好4k 音响也棒 速度快 送会员三年 资源多 晒单： 收起 向左转 向右转,正面
电视不错，就是刚买上就降价啦，还好申请了价格保护,正面
日日顺物流服务号。速度很快。第二天就到了。,正面
好评 买了两台 都开箱验机了 账号也登录看过了 周末找人来安装 对小米的印象越发好了 用段时间后回来追评,正面
电视很不错，家里还没办网，就连电脑放了几个视频，效果很不错，后续使用情况再追评。,正面
商店用来做展示用的，符合预期。面积大，三星屏色彩层次都不错，4K分辨率已经是必须的了，再回头看原来42寸，已经没法看了。输入接口也够用，如果加上DP，遥控器声控就完美了。顺便提醒，机配喇叭只能基本发声，如果要和这个漂亮的屏匹配，建议加一套音箱。效果就出来了！感觉超值的是有大量4K节目，爽爆！还有体育和少儿类的也是不错的，值得推荐！,正面
货已收到。物流速度快！包装完整。画质清晰。,正面
58寸的电视果然超级大，画质音质也很好，总之很不错?,正面
电视机比较清晰，很不错,正面
以这个价位来说不错了，在期望值内,正面
"客厅小,这个49寸的刚好,50的性价比不好.11号下单,12号送到,标准京东速度,由于只安底座,送货员给开箱,通电,无任何问题,签字,几分钟搞定.底座安装简单4颗螺丝。电视看了几天。电视整体是塑胶黑色的，窄边，画面质量好,我用的天威,高清很清楚.电视自带的节目资源很多,动画片,电视剧,综艺，电影都不错。家里移动20M的宽带，播放流畅。",正面
爸妈非常满意、超级清晰、好评、,正面
质量很好，服务态度也很好，很满意的一次购物！,正面
电视不错挺好的,正面
老公帮叔叔买的~小米的品牌一直喜欢 这次价格还可以,正面
显示效果很好，色彩还原真实鲜艳，价廉物美的好东西。关键是送三年会员很实惠，用三年会员就够了，三年后肯定有更好的电视出来了。,正面
飞利浦的值得信赖，用了一段时间没有什么问题，就是安装调试居然是收费的⊙﹏⊙,正面
刚开始对比了好几个牌子，最终选择TCL，老品牌的东西质量可以放心，主要是他们家的音箱好，打开试了确实不错，做工很精细，外观也上档次，对得起这个价钱，性价比很高。快递小哥很给力，我们这电梯还没运行，小哥直接抗上楼，早上送来下午安装，服务很到位，对这次网购非常非常满意。5星好评。,正面
大品牌，质量很好，价格便宜，活动价买的,正面
师傅包送上村，四楼，很热情，给个赞，安装调试是要收点费用的。很喜欢，价格美丽，高清，窄边框，客服很热心，解决所有疑问，回复很快，赞一个。55英寸看着真的很大气。,正面
不错,正面
还不错，老人家在家，物流和安装也很给力，送货当天就安装好，老爸还特意量了尺寸，和规格说明是一样的尺寸，具体效果和质量待后续使用！,正面
东西很好,正面
外观很大气，很薄，安装师傅服务很好,正面
效果不错，性价比很高,正面
挺好的，老人看听清楚,正面
很不错，价格实惠，画质好，暂时没问题,正面
放在门店里使用，系统流畅 显示清晰，不错，不错,正面
当天下单，第二天早上就送到了，确实不错，摆在客厅，高端大气 晒单： 收起 向左转 向右转 2017-12-29 09:47:04 追加： 昨晚看了一晚上的电影，超爱，以后爸妈可以慢慢的消磨时间了，比较了好几个互联网品牌，还是风行性价比高，这么便宜的价格能买到，真值。 收起 向左转 向右转,正面
电视不错 挺清楚的 声音也不错 索尼就是好,正面
好给力！颜色鲜明，值得买！,正面
不错很好就是放在我家三楼有点摆不下太大了点,正面
终于收到我需要的宝贝了，东西很好，价美物廉，谢谢卖家！说实在，这是我购物来让我最满意的一次购物。无论是卖家态度还是对物品，我都非常满意的。卖家态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向卖家表示由衷的敬意，这样的好卖家可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦给个优惠哦！,正面
满意的一次购物~家里装修新房了~接近尾声了想买个大点的电视充个门面~也经常上网购物~我这个人毛病多~对画质和音质有绝对的要求~最开始关注家里的老牌子TCL~去商场看中了TCLc2堪称完美~可是价格有点高~回家网上找电视突然发现了雷鸟~了解才知道是TCL的子品牌~第一印象就是底座~很漂亮~果断下单~因为前期没有网络~下电影试了试~很清晰~memc运动补偿就是想要的效果~和朋友家的c2做过对比~系统界面一模一样~画质一样~音响效果一点不比哈曼卡顿的差~主要是性价比非常高~非常开心?~强力支持雷鸟~,正面
物流很快,正面
买第二次了，非常不错。,正面
1.双十一买贵了，退了250； 2.屏幕看着不太好，有点渣……不过相对价钱还是很划算的； 3.安装人员真的服务很好，进门两次，自带鞋套，耐心帮我找安装合适高度！点赞?安装费100，挂架99很便宜了。 4.安装后米家app还可以控制电视，有点屌,正面
电视价钱很实惠，快递的速度很快两天到货很赞，京东服务很好电视买回来有一段时间了挺清晰的，在实体店是买不到这么好的东西的支持支持风行。,正面
使用了20多年康佳，还是那么好。快递小哥也很到位，提前联系，到货安装，调试都很到位，赞一个,正面
大品牌，就是不一样!,正面
电视收到了 包装很完好 感觉很厚实 外观很好 边框薄 要是黑色会更显薄 开机速度很快 各种界面切换很流畅 可以看出系统强大 总之很好,正面
配送速度很快，农村也可以及时送到，不得不佩服强大的配送网络，支持东哥,正面
不错。,正面
物超所值，售后服务态度非常好，,正面
很大 很不错，喜欢了 双11买的很便宜，酷开是创维旗下的 品质也很有保障，安装师傅也很快就预约安装，服务不错。,正面
电视机收到了，京东发货很快,正面
我买了两个风行电视，本来买给老人用的，因为便宜，但是装好开机以后发现这也太好了吧，性价比很高，屏幕很好色彩很好，尤其是遥控器，特别好，哈哈哈，不错不错，以后还买风行吧，片源好像也很多。专业做电是的品牌真心棒！哈哈,正面
电视不错，价格合理，画面很清晰。,正面
信价比非常高，质量第一不愧为国字号大品牌机，售后服务服务完美开票也很快。我家大，中，小三台电视机都是TcL品牌。值得推荐,正面
送人的，不错。。,正面
