日期,最高温度(℃),最低温度(℃),天气状况,风力风向,平均温度(℃)
2024-01-01,6,-2,多云,东南风3级,2.0
2024-01-02,10,3,中雨,西北风5级,6.5
2024-01-03,12,6,雾,南风1级,9.0
2024-01-04,15,4,雾,西北风5级,9.5
2024-01-05,14,7,雷阵雨,南风3级,10.5
2024-01-06,11,3,雾,东南风2级,7.0
2024-01-07,6,10,雾,东南风3级,8.0
2024-01-08,5,-2,晴,东南风5级,1.5
2024-01-09,3,-3,雷阵雨,西风2级,0.0
2024-01-10,6,-2,中雨,南风4级,2.0
2024-01-11,4,9,多云,东风4级,6.5
2024-01-12,6,0,中雨,北风3级,3.0
2024-01-13,8,-1,阴,东北风2级,3.5
2024-01-14,4,-1,晴,北风3级,1.5
2024-01-15,1,10,多云,南风5级,5.5
2024-01-16,3,-4,中雨,西风2级,-0.5
2024-01-17,14,4,中雨,西南风2级,9.0
2024-01-18,4,-3,雾,西南风5级,0.5
2024-01-19,8,-3,中雨,西北风1级,2.5
2024-01-20,3,-5,小雨,西北风1级,-1.0
2024-01-21,15,5,阴,西南风1级,10.0
2024-01-22,15,-2,雾,东南风2级,6.5
2024-01-23,15,4,多云,北风1级,9.5
2024-01-24,10,-5,大雨,东南风5级,2.5
2024-01-25,10,-2,大雨,东北风2级,4.0
2024-01-26,8,-1,小雨,东风5级,3.5
2024-01-27,10,4,雷阵雨,西北风4级,7.0
2024-01-28,14,6,雷阵雨,北风3级,10.0
2024-01-29,13,2,雾,东风3级,7.5
2024-01-30,5,-5,多云,西南风3级,0.0
2024-01-31,5,-3,中雨,北风1级,1.0
2024-02-01,6,-4,中雨,东南风2级,1.0
2024-02-02,11,5,阴,东北风2级,8.0
2024-02-03,12,9,阴,东风1级,10.5
2024-02-04,15,-5,晴,西北风1级,5.0
2024-02-05,14,5,小雨,西南风5级,9.5
2024-02-06,10,7,雷阵雨,西风4级,8.5
2024-02-07,8,-5,雾,东风4级,1.5
2024-02-08,8,10,阴,西南风2级,9.0
2024-02-09,15,8,中雨,西风2级,11.5
2024-02-10,6,6,雷阵雨,北风5级,6.0
2024-02-11,0,-5,大雨,西北风3级,-2.5
2024-02-12,4,-5,阴,西风4级,-0.5
2024-02-13,12,5,阴,西风4级,8.5
2024-02-14,9,0,中雨,南风4级,4.5
2024-02-15,0,-4,晴,北风3级,-2.0
2024-02-16,8,-2,多云,东风5级,3.0
2024-02-17,10,10,中雨,北风3级,10.0
2024-02-18,2,10,小雨,南风3级,6.0
2024-02-19,11,4,雾,东北风3级,7.5
2024-02-20,7,3,多云,东北风2级,5.0
2024-02-21,2,5,小雨,北风4级,3.5
2024-02-22,8,1,小雨,西南风5级,4.5
2024-02-23,15,-4,雾,北风5级,5.5
2024-02-24,5,3,大雨,西北风2级,4.0
2024-02-25,9,6,大雨,西风4级,7.5
2024-02-26,14,7,大雨,西北风4级,10.5
2024-02-27,6,-5,晴,东风1级,0.5
2024-02-28,14,-1,大雨,北风4级,6.5
2024-02-29,1,-3,阴,北风4级,-1.0
2024-03-01,34,5,多云,东南风4级,19.5
2024-03-02,19,14,阴,西南风5级,16.5
2024-03-03,29,14,多云,西北风4级,21.5
2024-03-04,30,22,雾,西风5级,26.0
2024-03-05,33,17,晴,西风3级,25.0
2024-03-06,16,15,雾,东北风2级,15.5
2024-03-07,31,6,雾,西风4级,18.5
2024-03-08,22,8,大雨,东北风5级,15.0
2024-03-09,22,16,雾,南风1级,19.0
2024-03-10,22,10,雷阵雨,东北风1级,16.0
2024-03-11,28,18,中雨,东风3级,23.0
2024-03-12,28,18,雾,东北风3级,23.0
2024-03-13,32,17,雾,东南风1级,24.5
2024-03-14,21,20,雾,东风4级,20.5
2024-03-15,30,25,阴,南风3级,27.5
2024-03-16,17,6,中雨,东北风1级,11.5
2024-03-17,18,12,雾,西北风1级,15.0
2024-03-18,25,23,大雨,东南风3级,24.0
2024-03-19,29,5,多云,东风4级,17.0
2024-03-20,29,13,中雨,北风2级,21.0
2024-03-21,25,18,大雨,东北风3级,21.5
2024-03-22,17,16,雾,东风4级,16.5
2024-03-23,32,6,多云,东北风5级,19.0
2024-03-24,26,17,大雨,西南风5级,21.5
2024-03-25,30,18,晴,北风2级,24.0
2024-03-26,33,22,多云,西风3级,27.5
2024-03-27,32,19,小雨,南风5级,25.5
2024-03-28,32,8,多云,西风3级,20.0
2024-03-29,28,5,雷阵雨,北风1级,16.5
2024-03-30,31,6,大雨,西南风5级,18.5
2024-03-31,24,16,小雨,东风4级,20.0
2024-04-01,29,9,阴,南风5级,19.0
2024-04-02,32,12,雾,南风4级,22.0
2024-04-03,27,6,雷阵雨,西风3级,16.5
2024-04-04,18,7,小雨,西南风3级,12.5
2024-04-05,35,5,阴,西南风5级,20.0
2024-04-06,25,7,阴,东风1级,16.0
2024-04-07,33,10,大雨,西风4级,21.5
2024-04-08,25,20,雷阵雨,西风5级,22.5
2024-04-09,15,10,小雨,东风5级,12.5
2024-04-10,17,12,晴,西北风1级,14.5
2024-04-11,16,11,雷阵雨,东南风3级,13.5
2024-04-12,22,6,中雨,北风2级,14.0
2024-04-13,17,12,中雨,北风2级,14.5
2024-04-14,21,9,雷阵雨,南风2级,15.0
2024-04-15,28,10,雾,北风5级,19.0
2024-04-16,35,5,多云,西南风1级,20.0
2024-04-17,28,11,多云,南风4级,19.5
2024-04-18,22,17,中雨,东风1级,19.5
2024-04-19,22,9,大雨,北风2级,15.5
2024-04-20,22,16,雾,东南风5级,19.0
2024-04-21,19,10,阴,西南风1级,14.5
2024-04-22,35,19,晴,东南风3级,27.0
2024-04-23,16,11,多云,西南风1级,13.5
2024-04-24,21,16,晴,东北风5级,18.5
2024-04-25,26,24,小雨,东风1级,25.0
2024-04-26,26,25,小雨,南风3级,25.5
2024-04-27,23,6,多云,东风5级,14.5
2024-04-28,34,23,阴,北风2级,28.5
2024-04-29,15,8,中雨,东南风1级,11.5
2024-04-30,25,17,中雨,东风5级,21.0
2024-05-01,31,7,晴,东风3级,19.0
2024-05-02,30,15,雾,东北风5级,22.5
2024-05-03,23,21,雷阵雨,东南风4级,22.0
2024-05-04,19,14,多云,西南风5级,16.5
2024-05-05,29,23,大雨,东南风2级,26.0
2024-05-06,24,20,多云,西风5级,22.0
2024-05-07,27,22,雾,西北风2级,24.5
2024-05-08,17,11,小雨,南风1级,14.0
2024-05-09,30,22,雷阵雨,西北风1级,26.0
2024-05-10,34,12,晴,东风2级,23.0
2024-05-11,25,7,多云,东北风1级,16.0
2024-05-12,22,7,晴,东南风2级,14.5
2024-05-13,23,12,中雨,西北风5级,17.5
2024-05-14,30,25,雷阵雨,南风2级,27.5
2024-05-15,29,13,雷阵雨,东南风4级,21.0
2024-05-16,35,21,雾,南风5级,28.0
2024-05-17,21,18,小雨,东风2级,19.5
2024-05-18,32,24,阴,西风5级,28.0
2024-05-19,30,9,多云,东北风4级,19.5
2024-05-20,19,8,中雨,南风2级,13.5
2024-05-21,32,6,小雨,东北风2级,19.0
2024-05-22,32,22,小雨,北风4级,27.0
2024-05-23,23,7,阴,西南风4级,15.0
2024-05-24,27,15,雷阵雨,东北风3级,21.0
2024-05-25,35,14,中雨,西风3级,24.5
2024-05-26,24,9,晴,西南风5级,16.5
2024-05-27,34,5,小雨,东南风3级,19.5
2024-05-28,31,15,中雨,东南风3级,23.0
2024-05-29,29,25,雷阵雨,东北风1级,27.0
2024-05-30,18,13,大雨,东南风1级,15.5
2024-05-31,23,8,阴,西北风3级,15.5
2024-06-01,34,27,晴,南风5级,30.5
2024-06-02,33,26,多云,东风4级,29.5
2024-06-03,33,20,多云,西风2级,26.5
2024-06-04,29,26,多云,东南风5级,27.5
2024-06-05,28,26,中雨,西风1级,27.0
2024-06-06,29,23,多云,东风1级,26.0
2024-06-07,38,20,大雨,东风5级,29.0
2024-06-08,30,22,雾,东北风3级,26.0
2024-06-09,35,26,中雨,北风3级,30.5
2024-06-10,37,28,多云,北风1级,32.5
2024-06-11,35,22,大雨,东南风5级,28.5
2024-06-12,28,28,多云,西风3级,28.0
2024-06-13,28,22,晴,西风5级,25.0
2024-06-14,38,27,小雨,西风1级,32.5
2024-06-15,37,24,雾,西南风5级,30.5
2024-06-16,28,25,雷阵雨,南风3级,26.5
2024-06-17,35,28,晴,东风5级,31.5
2024-06-18,37,28,小雨,北风5级,32.5
2024-06-19,28,27,阴,北风5级,27.5
2024-06-20,33,23,小雨,东风1级,28.0
2024-06-21,30,21,雷阵雨,西风4级,25.5
2024-06-22,37,21,雷阵雨,东风2级,29.0
2024-06-23,31,27,大雨,南风1级,29.0
2024-06-24,28,24,小雨,南风4级,26.0
2024-06-25,29,26,多云,西风5级,27.5
2024-06-26,30,26,多云,西南风2级,28.0
2024-06-27,37,22,晴,北风4级,29.5
2024-06-28,29,21,阴,西风2级,25.0
2024-06-29,35,25,雷阵雨,西北风1级,30.0
2024-06-30,36,28,雾,西风5级,32.0
2024-07-01,28,26,雷阵雨,西风1级,27.0
2024-07-02,36,27,雾,东风1级,31.5
2024-07-03,35,26,小雨,西南风4级,30.5
2024-07-04,28,25,中雨,西北风5级,26.5
2024-07-05,29,27,小雨,东北风5级,28.0
2024-07-06,37,21,雷阵雨,西风4级,29.0
2024-07-07,35,28,阴,西北风3级,31.5
2024-07-08,28,21,晴,西南风3级,24.5
2024-07-09,30,28,中雨,西南风3级,29.0
2024-07-10,36,21,晴,西风5级,28.5
2024-07-11,36,25,阴,东北风5级,30.5
2024-07-12,28,24,大雨,西南风1级,26.0
2024-07-13,35,27,雾,南风5级,31.0
2024-07-14,35,20,大雨,西风3级,27.5
2024-07-15,37,23,阴,西南风4级,30.0
2024-07-16,30,20,阴,西南风3级,25.0
2024-07-17,31,28,中雨,南风5级,29.5
2024-07-18,35,24,多云,南风5级,29.5
2024-07-19,34,26,晴,东南风1级,30.0
2024-07-20,29,20,多云,西风3级,24.5
2024-07-21,35,28,雾,南风3级,31.5
2024-07-22,32,28,多云,西南风2级,30.0
2024-07-23,34,21,中雨,西南风5级,27.5
2024-07-24,37,24,小雨,西南风2级,30.5
2024-07-25,28,26,阴,东北风3级,27.0
2024-07-26,31,21,雾,东南风2级,26.0
2024-07-27,30,27,雷阵雨,东风4级,28.5
2024-07-28,31,25,小雨,北风2级,28.0
2024-07-29,35,22,雷阵雨,东风5级,28.5
2024-07-30,32,22,中雨,西风5级,27.0
2024-07-31,38,25,中雨,东风3级,31.5
2024-08-01,37,26,小雨,西南风2级,31.5
2024-08-02,34,27,雾,南风4级,30.5
2024-08-03,35,23,雾,西北风3级,29.0
2024-08-04,33,22,中雨,西南风5级,27.5
2024-08-05,30,22,雾,西南风3级,26.0
2024-08-06,37,28,阴,南风1级,32.5
2024-08-07,36,23,雷阵雨,西北风5级,29.5
2024-08-08,28,25,小雨,东风2级,26.5
2024-08-09,36,28,小雨,东南风3级,32.0
2024-08-10,37,28,阴,西南风5级,32.5
2024-08-11,35,24,阴,东风4级,29.5
2024-08-12,37,25,多云,西南风2级,31.0
2024-08-13,35,25,阴,北风5级,30.0
2024-08-14,29,27,雷阵雨,北风4级,28.0
2024-08-15,38,20,雾,西南风4级,29.0
2024-08-16,38,26,晴,北风4级,32.0
2024-08-17,32,24,阴,西北风5级,28.0
2024-08-18,30,27,雾,南风2级,28.5
2024-08-19,28,28,大雨,西南风4级,28.0
2024-08-20,28,27,大雨,东北风4级,27.5
2024-08-21,38,24,多云,西南风4级,31.0
2024-08-22,38,20,雷阵雨,西北风5级,29.0
2024-08-23,34,25,阴,西北风1级,29.5
2024-08-24,33,20,大雨,北风4级,26.5
2024-08-25,28,26,阴,东风3级,27.0
2024-08-26,36,20,阴,西北风2级,28.0
2024-08-27,35,25,阴,东北风1级,30.0
2024-08-28,37,28,阴,南风3级,32.5
2024-08-29,34,24,小雨,东北风4级,29.0
2024-08-30,30,20,雷阵雨,东风1级,25.0
2024-08-31,38,28,阴,西北风5级,33.0
2024-09-01,32,24,小雨,西风1级,28.0
2024-09-02,20,8,小雨,北风3级,14.0
2024-09-03,25,7,晴,西风5级,16.0
2024-09-04,18,10,多云,东北风4级,14.0
2024-09-05,33,15,中雨,东南风5级,24.0
2024-09-06,22,9,多云,东南风1级,15.5
2024-09-07,19,17,阴,西南风2级,18.0
2024-09-08,26,6,多云,北风3级,16.0
2024-09-09,15,10,大雨,西风1级,12.5
2024-09-10,31,24,晴,东风1级,27.5
2024-09-11,24,18,雾,西南风5级,21.0
2024-09-12,33,18,中雨,东北风1级,25.5
2024-09-13,19,6,雷阵雨,西南风2级,12.5
2024-09-14,29,6,阴,东风4级,17.5
2024-09-15,24,14,晴,北风2级,19.0
2024-09-16,35,8,雾,东风4级,21.5
2024-09-17,22,12,小雨,东风2级,17.0
2024-09-18,30,25,中雨,东北风2级,27.5
2024-09-19,27,17,阴,东南风1级,22.0
2024-09-20,24,11,多云,西风5级,17.5
2024-09-21,31,16,小雨,西南风1级,23.5
2024-09-22,27,19,雷阵雨,北风3级,23.0
2024-09-23,32,8,雾,西北风5级,20.0
2024-09-24,23,18,雷阵雨,东风2级,20.5
2024-09-25,24,23,雾,东北风3级,23.5
2024-09-26,17,12,雾,东南风3级,14.5
2024-09-27,24,18,雷阵雨,西南风5级,21.0
2024-09-28,22,17,雷阵雨,西南风2级,19.5
2024-09-29,19,13,大雨,南风5级,16.0
2024-09-30,29,5,多云,西北风1级,17.0
2024-10-01,24,14,大雨,北风3级,19.0
2024-10-02,32,15,晴,东南风3级,23.5
2024-10-03,23,18,中雨,北风4级,20.5
2024-10-04,28,6,晴,西风1级,17.0
2024-10-05,20,15,中雨,东南风1级,17.5
2024-10-06,33,6,多云,西风5级,19.5
2024-10-07,28,15,雷阵雨,东风5级,21.5
2024-10-08,29,11,大雨,西风1级,20.0
2024-10-09,26,12,雾,北风3级,19.0
2024-10-10,26,7,雷阵雨,东南风4级,16.5
2024-10-11,28,22,中雨,南风3级,25.0
2024-10-12,25,11,中雨,东北风1级,18.0
2024-10-13,22,14,雾,东风4级,18.0
2024-10-14,18,15,大雨,西风4级,16.5
2024-10-15,15,10,晴,东北风3级,12.5
2024-10-16,20,16,小雨,西风1级,18.0
2024-10-17,33,8,阴,西南风2级,20.5
2024-10-18,33,23,小雨,东北风4级,28.0
2024-10-19,16,12,大雨,东南风3级,14.0
2024-10-20,35,20,多云,南风3级,27.5
2024-10-21,31,13,阴,东北风5级,22.0
2024-10-22,26,15,阴,北风2级,20.5
2024-10-23,25,17,雷阵雨,东风4级,21.0
2024-10-24,16,11,多云,西南风1级,13.5
2024-10-25,17,11,多云,南风2级,14.0
2024-10-26,16,8,多云,西风1级,12.0
2024-10-27,16,11,晴,西风2级,13.5
2024-10-28,18,16,阴,东南风2级,17.0
2024-10-29,25,5,中雨,东风4级,15.0
2024-10-30,34,11,小雨,南风1级,22.5
2024-10-31,15,10,阴,北风3级,12.5
2024-11-01,18,13,中雨,北风2级,15.5
2024-11-02,30,16,大雨,东风1级,23.0
2024-11-03,16,11,中雨,东南风5级,13.5
2024-11-04,18,14,雾,西北风4级,16.0
2024-11-05,29,15,阴,西风4级,22.0
2024-11-06,23,9,雾,西风1级,16.0
2024-11-07,21,8,大雨,北风1级,14.5
2024-11-08,17,12,多云,北风5级,14.5
2024-11-09,22,18,雾,南风3级,20.0
2024-11-10,28,21,多云,北风5级,24.5
2024-11-11,16,8,小雨,东南风5级,12.0
2024-11-12,26,13,多云,北风3级,19.5
2024-11-13,32,17,雷阵雨,西北风3级,24.5
2024-11-14,34,23,雾,西南风5级,28.5
2024-11-15,22,9,晴,东南风1级,15.5
2024-11-16,31,19,小雨,东北风2级,25.0
2024-11-17,34,20,雾,南风1级,27.0
2024-11-18,24,19,阴,北风4级,21.5
2024-11-19,31,9,雷阵雨,北风2级,20.0
2024-11-20,28,17,大雨,西南风5级,22.5
2024-11-21,26,10,小雨,东南风3级,18.0
2024-11-22,34,21,大雨,东风4级,27.5
2024-11-23,24,11,雷阵雨,西南风1级,17.5
2024-11-24,16,6,大雨,南风4级,11.0
2024-11-25,25,6,小雨,西北风4级,15.5
2024-11-26,15,10,雾,西风1级,12.5
2024-11-27,35,22,雾,东南风1级,28.5
2024-11-28,23,18,中雨,西风3级,20.5
2024-11-29,21,8,雷阵雨,南风4级,14.5
2024-11-30,32,24,中雨,北风5级,28.0
